name,white,black,api,native,multiple,hispanic
ARNO,1.0,0.0,0.0,0.0,0.0,0.0
ARNOLD,0.7821,0.0732,0.0699,0.0,0.0,0.0748
ARNOLDO,0.0546,0.0,0.0,0.0,0.0,0.9454
ARNULFO,0.0204,0.0,0.0816,0.0,0.0,0.898
ARON,0.9195,0.0115,0.023,0.0,0.0,0.046
ARSEN,1.0,0.0,0.0,0.0,0.0,0.0
ARSENIO,0.3243,0.027,0.2973,0.0,0.0,0.3514
ART,0.6786,0.0476,0.1071,0.0,0.0,0.1667
ARTEMIO,0.0185,0.0,0.2222,0.0,0.0,0.7593
ARTHUR,0.8312,0.071,0.0338,0.001,0.0014,0.0617
ARTI,0.3143,0.0286,0.6,0.0,0.0,0.0571
ARTUR,0.9578,0.0,0.0,0.0141,0.0,0.0282
ARTURO,0.0797,0.0,0.0476,0.0,0.0014,0.8713
ARUN,0.2595,0.0076,0.7176,0.0076,0.0,0.0076
ARUNA,0.2381,0.0,0.7381,0.0238,0.0,0.0
ARVIN,0.6111,0.0,0.25,0.0,0.0,0.1389
ARVIND,0.274,0.0,0.6986,0.0274,0.0,0.0
ASA,0.8611,0.1111,0.0,0.0,0.0,0.0278
ASHA,0.1951,0.0854,0.7195,0.0,0.0,0.0
ASHISH,0.1525,0.0,0.8475,0.0,0.0,0.0
ASHLEE,0.9737,0.0175,0.0,0.0,0.0,0.0088
ASHLEIGH,0.9659,0.0227,0.0,0.0,0.0,0.0114
ASHLEY,0.937,0.036,0.0099,0.0009,0.0,0.0163
ASHLIE,0.921,0.0,0.0,0.0,0.0,0.0789
ASHOK,0.1834,0.0,0.7929,0.0118,0.0059,0.0059
ASHRAF,0.8182,0.0,0.1818,0.0,0.0,0.0
ASHTON,0.8235,0.1471,0.0,0.0294,0.0,0.0
ASHWIN,0.3421,0.0,0.6053,0.0,0.0263,0.0263
ASIF,0.3333,0.0,0.641,0.0,0.0,0.0256
ASIM,0.4194,0.0,0.5484,0.0323,0.0,0.0
ASMA,0.3636,0.0303,0.5758,0.0303,0.0,0.0
ASTRID,0.75,0.0167,0.0667,0.0,0.0,0.1667
ATHANASIOS,1.0,0.0,0.0,0.0,0.0,0.0
ATHENA,0.8529,0.0392,0.0392,0.0,0.0,0.0686
ATUL,0.1538,0.0,0.8462,0.0,0.0,0.0
AUBREY,0.8418,0.1071,0.0306,0.0051,0.0,0.0153
AUDRA,0.879,0.0684,0.0,0.0053,0.0,0.0474
AUDREY,0.8472,0.1071,0.0238,0.003,0.001,0.0179
