state,county,tract,white,black,api,native,multiple,hispanic
01,017,953800,0.6995577667219459,0.27805417357656165,0.0008291873963515754,0.0024875621890547263,0.008568269762299612,0.010503040353786623
01,017,953900,0.4746289264756645,0.5074214704867104,0.0020711080428028996,0.0010355540214014498,0.008974801518812565,0.005868139454608216
01,017,954000,0.40845704003598743,0.5662018293597241,0.001949317738791423,0.000449842555105713,0.006597690808217124,0.01634427950217424
01,017,954200,0.7440073755377996,0.2280270436385987,0.003687768899815612,0.004917025199754149,0.0070682237246465895,0.012292562999385375
01,017,954300,0.5677570093457944,0.3889124893797791,0.022514868309260833,0.002548853016142736,0.00913338997451147,0.00913338997451147
01,017,954400,0.1790744466800805,0.7937625754527163,0.0,0.0,0.009054325955734405,0.01810865191146881
01,017,954500,0.4939345991561182,0.4488396624472574,0.0007911392405063291,0.002373417721518988,0.017405063291139243,0.03665611814345992
01,017,954600,0.7982996188800938,0.1665200820873644,0.004983875696276752,0.0005863383172090296,0.0079155672823219,0.021694517736734097
01,017,954700,0.7001443596617858,0.2726335326871519,0.0026809651474530827,0.0006186842647968652,0.011961229119406062,0.011961229119406062
01,019,955701,0.8801441874436767,0.08320817062180834,0.003003905076599579,0.005407029137879243,0.018023430459597475,0.01021327726043857
01,019,955702,0.9752002066649444,0.003616636528028933,0.0005166623611469904,0.003874967708602428,0.01188323430638078,0.0049082924308964096
01,019,955800,0.9332373582868455,0.021954291884110133,0.002159438545978046,0.0062983624257693,0.013496490912362788,0.02285405794493432
01,019,955900,0.894401133947555,0.07252539570044886,0.0016536735175998111,0.004016064257028113,0.01559177888022679,0.011811953697141508
01,019,956000,0.9120358833790183,0.06254672314976328,0.00224271118863693,0.00323947171692001,0.01171193620732619,0.008223274358335413
01,019,956100,0.9237577952122309,0.047274190303761815,0.0020116676725005027,0.004828002414001206,0.010661838664252665,0.011466505733252867
01,021,060101,0.6543990799309948,0.24381828637147784,0.00460034502587694,0.0017251293847038525,0.008817327966264136,0.08663983132068238
01,021,060102,0.8103256552819699,0.0976965845909452,0.006830818109610803,0.0027005559968228754,0.009690230341540906,0.07275615567911041
01,021,060200,0.9661439771917322,0.0049893086243763375,0.0010691375623663579,0.002851033499643621,0.010334996436208128,0.01461154668567356
01,021,060300,0.8941701680672269,0.006565126050420168,0.0015756302521008404,0.005777310924369748,0.006827731092436975,0.08508403361344538
01,021,060401,0.8319912152269399,0.06954612005856516,0.0038433382137628112,0.001281112737920937,0.007869692532942897,0.08546852122986821
01,021,060402,0.7945471138489618,0.06696326716860597,0.0026237736710015966,0.0045630846452201675,0.007757243896874286,0.12354551676933605
