zcta5,white,black,api,native,multiple,hispanic
01104,0.3657,0.1121,0.0148,0.0017,0.018000000000000002,0.4878
01105,0.1538,0.1923,0.0098,0.0025,0.015,0.6266
01106,0.9076,0.0102,0.0475,0.0002,0.0109,0.0235
01107,0.1304,0.0671,0.0041,0.0011,0.01,0.7872
01108,0.3589,0.16699999999999998,0.0597,0.0025,0.021,0.3908
01109,0.2156,0.4036,0.0107,0.0028,0.0276,0.3397
01118,0.6729,0.1256,0.037000000000000005,0.0007,0.0211,0.1426
01119,0.5418,0.1965,0.0162,0.0026,0.0229,0.22
01128,0.7727,0.0936,0.0324,0.0015,0.0183,0.0815
01129,0.62,0.157,0.0274,0.002,0.023,0.1707
01151,0.4697,0.1525,0.0161,0.002,0.0236,0.3362
01199,,,,,,
01201,0.8649,0.0479,0.0122,0.0017,0.0246,0.0487
01220,0.9631,0.0059,0.0049,0.0009,0.0134,0.0117
01222,0.9337,0.0157,0.0,0.0,0.0084,0.0422
01223,0.9623,0.0048,0.0035,0.0017,0.0091,0.0186
01224,0.9341,0.0055,0.044,0.0,0.0165,0.0
01225,0.9705,0.0045,0.0039,0.0016,0.0093,0.0103
01226,0.9589,0.0069,0.0079,0.0004,0.0101,0.0157
01229,0.9789,0.0105,0.0,0.0,0.0105,0.0
01230,0.8944,0.0227,0.0152,0.0018,0.0165,0.0494
01235,0.9736,0.0061,0.0033,0.0014,0.009000000000000001,0.0065
01236,0.929,0.0099,0.008,0.0,0.0192,0.0338
01237,0.9555,0.0152,0.0048,0.0004,0.0076,0.0164
01238,0.9231,0.0096,0.0166,0.0017,0.0063,0.0427
01240,0.9336,0.0128,0.0146,0.0009,0.0137,0.0243
01242,0.9389,0.0,0.0168,0.0,0.0147,0.0295
01243,0.991,0.0,0.003,0.0,0.003,0.003
01244,0.9934,0.0,0.0,0.0,0.0066,0.0
01245,0.9746,0.0142,0.001,0.0,0.003,0.0071
01247,0.9219,0.0179,0.006999999999999999,0.0026,0.0197,0.0309
01253,0.963,0.0,0.0055,0.0041,0.0123,0.0151
01254,0.9681,0.0031,0.0062,0.001,0.0041,0.0175
01255,0.9584,0.0088,0.0099,0.0,0.012,0.011
01256,0.9306,0.0188,0.0014,0.0058,0.0303,0.013
01257,0.9405,0.009000000000000001,0.0052,0.0019,0.0109,0.0326
01258,0.9652,0.0107,0.0053,0.0,0.008,0.0107
01259,0.9638,0.0,0.011,0.0,0.0063,0.0189
01260,0.9625,0.025,0.0042,0.0,0.0042,0.0042
01262,0.9319,0.0081,0.013,0.0008,0.0105,0.0357
01264,0.9708,0.0,0.0073,0.0,0.0,0.0219
01266,0.9568,0.0082,0.0123,0.0,0.0041,0.0185
01267,0.8546,0.0267,0.0502,0.0008,0.0272,0.0405
01270,0.9537,0.0077,0.0064,0.0013,0.0257,0.0051
01301,0.9004,0.0148,0.0139,0.0029,0.0195,0.0483
01330,0.9482,0.0027,0.0053,0.0046,0.0206,0.0186
01331,0.9355,0.0087,0.0069,0.0013,0.0135,0.034
01337,0.9742,0.0015,0.0039,0.0012,0.01,0.0092
01338,0.9679,0.0,0.0,0.0,0.016,0.016
01339,0.9596,0.0021,0.009000000000000001,0.0042,0.0174,0.0077
01340,0.9605,0.0041,0.0077,0.0006,0.0195,0.0077
01341,0.9525,0.0016,0.0071,0.0038,0.0197,0.0153
01342,0.9209,0.0121,0.0161,0.0,0.0214,0.0295
01343,0.9733,0.0,0.0,0.0,0.0267,0.0
01344,0.9586,0.0033,0.0027,0.0007,0.0147,0.02
01346,0.9568,0.0056,0.0,0.0019,0.0188,0.0169
01347,0.9217,0.006,0.012,0.006,0.0482,0.006
01349,0.9439,0.0037,0.0092,0.0046,0.0129,0.0258
01350,0.9504,0.0,0.0248,0.0,0.0,0.0248
01351,0.9355,0.0053,0.0106,0.0013,0.0199,0.0274
01354,0.9593,0.0087,0.0127,0.002,0.0093,0.008
01355,0.9658,0.0011,0.0091,0.0023,0.0114,0.0103
01360,0.9617,0.0043,0.0026,0.0016,0.0112,0.0185
01364,0.9334,0.0094,0.0111,0.0036,0.0145,0.028
01366,0.9749,0.0016,0.0039,0.0008,0.006999999999999999,0.0117
01367,0.9713,0.0077,0.0,0.0,0.0096,0.0115
01368,0.9564,0.0024,0.0071,0.0008,0.0071,0.0262
01370,0.9576,0.0042,0.0096,0.0022,0.0167,0.0098
01373,0.9417,0.0054,0.0174,0.0002,0.0115,0.0237
01375,0.8489,0.0253,0.052000000000000005,0.0033,0.0212,0.0493
